Date,Consumption,Wind,Solar
2006-01-01,1069.1840000000002,,
2006-01-02,1380.5210000000004,,
2006-01-03,1442.533,,
2006-01-04,1457.217,,
2006-01-05,1477.131,,
2006-01-06,1403.427,,
2006-01-07,1300.2870000000005,,
2006-01-08,1207.9849999999994,,
2006-01-09,1529.3229999999994,,
2006-01-10,1576.911,,
2006-01-11,1577.1759999999995,,
2006-01-12,1553.28,,
2006-01-13,1545.0019999999995,,
2006-01-14,1359.945,,
2006-01-15,1265.475,,
2006-01-16,1563.7379999999998,,
2006-01-17,1598.303,,
2006-01-18,1572.9840000000006,,
2006-01-19,1558.29,,
2006-01-20,1540.6039999999996,,
2006-01-21,1348.1879999999999,,
2006-01-22,1248.111,,
2006-01-23,1569.691,,
2006-01-24,1603.2520000000006,,
2006-01-25,1613.3119999999994,,
2006-01-26,1601.6729999999993,,
2006-01-27,1586.0649999999996,,
2006-01-28,1373.0300000000002,,
2006-01-29,1252.2149999999995,,
2006-01-30,1554.7219999999998,,
2006-01-31,1575.1290000000006,,
2006-02-01,1582.1340000000002,,
2006-02-02,1595.7169999999994,,
2006-02-03,1577.786,,
2006-02-04,1366.322,,
2006-02-05,1258.013,,
2006-02-06,1557.5250000000005,,
2006-02-07,1606.6669999999995,,
2006-02-08,1590.8960000000004,,
2006-02-09,1599.129,,
2006-02-10,1554.631,,
2006-02-11,1346.1040000000005,,
2006-02-12,1232.568,,
2006-02-13,1521.456,,
2006-02-14,1551.3730000000005,,
2006-02-15,1562.656,,
2006-02-16,1523.7190000000005,,
2006-02-17,1495.9129999999998,,
2006-02-18,1297.3850000000002,,
2006-02-19,1173.0500000000004,,
2006-02-20,1501.246,,
2006-02-21,1544.112,,
2006-02-22,1543.1070000000002,,
2006-02-23,1523.4910000000002,,
2006-02-24,1507.2350000000006,,
2006-02-25,1309.603,,
2006-02-26,1204.7659999999996,,
2006-02-27,1444.899,,
2006-02-28,1507.4899999999998,,
2006-03-01,1531.1729999999998,,
2006-03-02,1539.9510000000002,,
2006-03-03,1510.8839999999998,,
2006-03-04,1323.3029999999999,,
2006-03-05,1220.395,,
2006-03-06,1502.1910000000007,,
2006-03-07,1514.0119999999995,,
2006-03-08,1545.8339999999998,,
2006-03-09,1498.4439999999993,,
2006-03-10,1475.3270000000002,,
2006-03-11,1320.3680000000004,,
2006-03-12,1218.4070000000004,,
2006-03-13,1494.832,,
2006-03-14,1514.066,,
2006-03-15,1518.04,,
2006-03-16,1516.898,,
2006-03-17,1495.3239999999998,,
2006-03-18,1280.7169999999999,,
2006-03-19,1160.078,,
2006-03-20,1446.2379999999998,,
2006-03-21,1470.34,,
2006-03-22,1471.667,,
2006-03-23,1456.0159999999996,,
2006-03-24,1444.75,,
2006-03-25,1231.0670000000002,,
2006-03-26,1116.743,,
2006-03-27,1400.9820000000002,,
2006-03-28,1435.1520000000005,,
2006-03-29,1438.405,,
2006-03-30,1457.454,,
2006-03-31,1429.0659999999998,,
2006-04-01,1207.7690000000002,,
2006-04-02,1110.0260000000003,,
2006-04-03,1422.7889999999998,,
2006-04-04,1436.6990000000005,,
2006-04-05,1447.7979999999998,,
2006-04-06,1432.8529999999994,,
2006-04-07,1394.9799999999998,,
2006-04-08,1195.9589999999996,,
2006-04-09,1104.106,,
2006-04-10,1408.1689999999994,,
2006-04-11,1419.3009999999995,,
2006-04-12,1425.7119999999998,,
2006-04-13,1415.5420000000001,,
2006-04-14,1118.3960000000004,,
2006-04-15,1086.018,,
2006-04-16,986.875,,
2006-04-17,1009.094,,
2006-04-18,1349.5629999999999,,
2006-04-19,1368.4560000000001,,
2006-04-20,1362.217,,
2006-04-21,1333.266,,
2006-04-22,1152.9429999999998,,
2006-04-23,1042.414,,
2006-04-24,1345.851,,
2006-04-25,1359.8059999999996,,
2006-04-26,1374.322,,
2006-04-27,1384.681,,
2006-04-28,1362.57,,
2006-04-29,1167.24,,
2006-04-30,1026.3519999999999,,
2006-05-01,986.698,,
2006-05-02,1329.8210000000004,,
2006-05-03,1348.188,,
2006-05-04,1348.3429999999996,,
2006-05-05,1330.5199999999998,,
2006-05-06,1115.442,,
2006-05-07,998.308,,
2006-05-08,1321.7820000000004,,
2006-05-09,1353.2289999999996,,
2006-05-10,1351.4,,
2006-05-11,1337.5020000000002,,
2006-05-12,1320.006,,
2006-05-13,1123.9260000000004,,
2006-05-14,1010.284,,
2006-05-15,1317.8490000000004,,
2006-05-16,1360.65,,
2006-05-17,1346.0980000000004,,
2006-05-18,1365.406,,
2006-05-19,1348.465,,
2006-05-20,1175.2729999999995,,
2006-05-21,1050.17,,
2006-05-22,1358.082,,
2006-05-23,1374.495,,
2006-05-24,1339.5649999999996,,
2006-05-25,1053.351,,
2006-05-26,1213.465,,
2006-05-27,1108.266,,
2006-05-28,1065.343,,
2006-05-29,1349.2470000000005,,
2006-05-30,1376.7939999999999,,
2006-05-31,1380.175,,
2006-06-01,1367.7510000000002,,
2006-06-02,1323.2310000000002,,
2006-06-03,1100.889,,
2006-06-04,955.373,,
2006-06-05,975.632,,
2006-06-06,1306.362,,
2006-06-07,1325.818,,
2006-06-08,1328.5460000000005,,
2006-06-09,1311.784,,
2006-06-10,1114.5270000000003,,
2006-06-11,1004.8530000000001,,
2006-06-12,1329.5910000000001,,
2006-06-13,1356.201,,
2006-06-14,1352.0120000000004,,
2006-06-15,1140.329,,
2006-06-16,1254.9540000000004,,
2006-06-17,1103.6199999999997,,
2006-06-18,1007.067,,
2006-06-19,1351.9890000000005,,
2006-06-20,1369.8549999999998,,
